"PH","Turbidity"
"","29,631,353,806,316,400"
"371,608,007,538,699","4,500,656,274,942,400"
"8,099,124,189,298,390","30,559,337,496,641,600"
"8,316,765,884,214,670","4,628,770,536,837,080"
"9,092,223,456,290,960","4,075,075,425,430,030"
"5,584,086,638,456,080","25,597,082,275,565,200"
"10,223,862,164,528,700","2,672,988,736,934,770"
"8,635,848,718,500,730","4,401,424,715,445,480"
"","35,950,171,809,576,100"
"11,180,284,470,721,500","4,370,561,936,655,490"
"7,360,640,105,838,250","36,622,917,828,524,496"
"7,974,521,648,923,860","4,011,718,108,339,780"
"7,119,824,384,264,550","3,445,756,223,321,890"
"","4,413,974,182,974,900"
"749,623,220,797,336","4,777,382,337,225,370"
"6,347,271,760,539,310","4,376,348,290,691,890"
"7,051,785,800,016,840","4,268,428,857,506,180"
"9,181,560,007,151,530","4,503,660,796,179,120"
"8,975,464,347,533,960","24,360,855,903,052,700"
"7,371,050,302,429,530","25,602,991,476,149,100"
"","413,342,264,357,917"
"6,660,212,026,118,100","37,497,012,410,996,096"
"","5,459,250,956,028,730"
"3,902,475,685,915,090","4,528,522,696,326,910"
"5,400,301,780,729,460","4,824,786,389,767,520"
"6,514,415,093,251,670","5,200,885,076,539,750"
"34,450,618,643,852,100","4,184,396,969,028,850"
"","4,004,871,127,571,580"
"","39,915,642,477,993,000"
"","60,381,849,531,835,800"
"7,181,448,580,829,170","5,088,859,989,138,790"
"982,548,990,813,439","2,857,472,426,051,180"
"10,433,290,982,804,300","5,057,310,516,515,720"
"7,414,148,196,336,240","3,160,624,468,232,630"
"","5,029,166,724,080,730"
"5,115,817,063,771,210","39,020,887,676,437,504"
"3,641,629,777,473,380","34,643,530,351,550,200"
"5,618,064,405,909,140","28,965,469,413,044,700"
"","290,756,391,519,334"
"9,267,187,530,763,540","4,324,004,645,618,280"
"","3,510,004,044,590,520"
"5,331,940,479,018,530","4,434,820,257,956,540"
"7,145,771,545,218,820","5,182,590,703,980,220"
"9,920,691,058,768,150","469,070,723,013,249"
"4,758,439,424,671,470","4,542,801,461,749,170"
"5,702,925,976,824,720","4,137,739,016,206,600"
"6,953,864,225,511,050","3,195,710,328,196,260"
"1,068,296,642,580,590","39,997,753,815,500,600"
"","440,558,600,033,858"
"8,757,257,397,440,990","36,261,354,416,122,304"
"","30,480,572,231,069,700"
"780,963,189,801,941","2,447,444,463,910,630"
"6,652,488,090,855,700","37,420,904,263,496,600"
"9,147,197,055,336,920","37,945,315,911,032,096"
"10,560,744,636,218,100","39,646,863,500,221,200"
"7,484,254,837,727,460","4,781,188,176,562,560"
"8,520,806,572,970,300","39,406,045,297,946,800"
"4,999,413,810,796,910","4,460,683,931,737,430"
"","44,053,857,056,590,304"
"","4,089,907,689,677,860"
"39,060,783,549,561,600","3,902,879,711,657,460"
"6,391,353,623,832,180","392,374,916,929,651"
"","38,556,022,119,166,896"
"8,692,092,012,708,040","4,477,960,248,233,930"
"8,085,759,800,882,210","4,068,688,909,481,660"
"62,039,777,022,783,400","5,215,689,206,119,030"
"5,058,108,868,565,130","5,106,655,774,420,080"
"","4,620,793,451,653,210"
"","34,397,400,415,499,100"
"7,261,550,522,070,710","3,636,364,182,680,490"
"716,046,723,080,874","38,848,910,441,472,704"
"5,704,764,776,213,010","4,157,533,407,489,730"
"621,727,313,516,034","5,325,833,445,695,800"
"8,679,934,969,964,180","3,873,470,298,448,300"
"","4,655,916,598,688,820"
"6,897,322,141,100,190","5,022,783,630,004,570"
"3,514,545,528,745,270","3,762,615,331,099,360"
"372,250,048,593,372","36,628,377,319,913,504"
"6,455,004,797,496,710","22,934,314,064,128,600"
"7,316,804,753,880,910","3,508,372,649,783,590"
"1,844,538,366,498,840","5,013,463,351,103,730"
"5,519,125,656,437,600","3,758,995,860,323,910"
"7,408,985,466,924,610","3,772,420,927,989,510"
"5,976,769,618,087,590","29,946,710,955,082,100"
"6,395,359,131,671,060","4,191,217,514,711,700"
"6,209,642,259,708,480","36,125,196,149,467,104"
"6,762,832,521,891,730","4,916,579,160,751,280"
"991,871,706,385,417","3,385,508,443,856,710"
"1,015,544,017,022,190","5,002,467,259,922,080"
"8,721,726,710,620,580","25,550,269,039,968,700"
"","4,383,921,813,522,320"
"","3,355,164,642,176,150"
"6,099,646,705,468,380","31,727,897,691,528,700"
"9,026,787,719,511,630","20,190,420,182,011,600"
"6,953,371,603,389,540","3,651,865,808,422,890"
"6,140,877,556,947,860","5,359,460,295,012,960"
"7,077,874,006,530,450","4,764,508,264,921,440"
"5,488,314,309,012,510","5,066,786,271,784,540"
"7,205,559,174,588,720","3,710,053,125,679,870"
"9,177,869,865,892,430","31,087,699,879,134,500"
"4,270,716,194,733,730","3,763,905,902,952,320"
"7,348,844,511,550,610","4,880,875,156,180,850"
"8,526,169,869,777,780","5,083,014,141,516,920"
"","3,995,973,787,492,760"
"2,612,035,914,817,260","4,765,205,370,159,000"
"8,490,571,562,027,730","38,755,568,051,367,696"
"","33,985,925,873,166,500"
"8,858,401,531,200,460","5,525,726,338,121,710"
"609,815,652,147,278","39,773,623,643,299,696"
"841,997,068,212,899","3,962,478,314,282,770"
"9,286,155,021,432,370","5,239,981,870,081,680"
"7,875,895,135,481,780","4,238,589,203,481,520"
"77,253,329,080,747,504","37,248,367,036,446,896"
"3,388,090,610,523,890","2,798,600,948,267,040"
"6,745,306,715,080,950","39,023,525,898,765,000"
"","56,290,156,360,573,200"
"7,183,825,723,393,180","4,597,165,511,526,860"
"10,111,976,704,648,600","3,425,763,242,173,680"
"7,397,413,298,543,410","3,149,157,510,432,670"
"7,812,804,388,310,300","6,204,846,358,828,900"
"6,877,456,932,576,710","38,276,500,717,354,400"
"","4,664,350,321,001,550"
"","4,197,595,209,206,810"
"7,521,051,678,672,170","28,807,853,472,938,300"
"8,550,875,469,289,330","37,728,866,074,587,600"
"10,308,477,656,813,700","3,285,077,052,469,840"
"","5,052,736,766,116,990"
"7,371,085,073,209,560","44,125,895,367,028,096"
"11,180,694,664,461,900","38,098,416,540,991,400"
"6,506,487,766,502,460","35,487,755,887,477,300"
"6,643,935,774,662,300","38,129,529,259,917,800"
"5,033,773,989,751,660","32,449,484,773,190,600"
"691,260,756,198,984","26,122,489,531,921,600"
"7,977,635,990,880,490","3,552,129,499,701,650"
"6,078,335,836,509,270","420,158,090,550,856"
"6,242,414,484,103,840","45,087,050,978,944,800"
"6,063,354,789,891,070","34,673,369,148,168,500"
"8,129,585,513,966,720","33,625,371,351,987,900"
"9,562,405,943,789,520","37,627,198,370,300,304"
"8,167,792,632,308,250","4,289,395,484,098,240"
"8,594,416,135,206,470","3,568,991,707,976,400"
"","36,797,950,347,550,200"
"6,825,467,900,630,390","3,027,449,578,045,160"
"7,861,177,700,998,560","4,157,656,628,375,070"
"4,965,773,559,644,960","34,217,668,494,012,500"
"6,207,432,967,614,710","3,549,298,841,293,140"
"","4,417,559,791,016,320"
"976,925,100,608,684","4,636,556,195,256,850"
"9,630,665,479,903,340","4,920,091,157,959,160"
"5,187,471,605,436,370","32,032,578,962,619,900"
"7,633,570,087,677,550","29,270,667,668,863,700"
"5,771,199,049,813,680","4,688,959,065,495,110"
"6,579,969,329,401,550","4,575,931,871,590,860"
"480,115,436,807,586","4,418,638,131,667,750"
"7,948,815,718,151,560","36,922,508,612,698,096"
"6,906,992,171,811,650","21,247,593,522,163,000"
"","4,444,350,199,227,690"
"","34,631,725,477,162,500"
"846,133,087,400,179","3,771,944,146,409,470"
"7,726,134,807,902,500","37,206,369,044,524,096"
"","3,777,737,413,505,420"
"8,927,078,148,301,740","460,186,095,914,794"
"6,208,015,539,719,020","4,334,615,732,320,450"
"6,128,425,635,295,910","4,633,823,861,920,790"
"","26,789,107,131,905,700"
"7,308,048,848,275,570","3,696,119,711,501,410"
"","43,532,385,889,712,096"
"8,640,886,408,909,480","52,631,015,720,413,696"
"","41,025,294,815,021,400"
"8,153,210,075,272,150","2,905,788,134,056,520"
"8,293,720,110,388,860","39,547,152,826,707,600"
"","33,108,585,080,012,600"
"","37,066,017,915,406,800"
"9,489,972,878,325,850","4,219,967,522,355,660"
"783,097,634,338,162","4,588,784,656,948,850"
"4,430,281,211,546,540","4,384,565,155,637,750"
